53,AFK,WHA,2,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
54,AFK,WYE,2,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
55,AFK,PLC,2,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
56,AFK,CHG,2,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
57,AFK,HMT,3,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
58,AFK,WHA,3,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
59,AFK,WYE,3,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
60,AFK,PLC,3,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
61,AFK,CHG,3,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
62,AFK,HMT,4,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
63,AFK,WHA,4,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
64,AFK,WYE,4,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
65,AFK,PLC,4,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
66,AFK,CHG,4,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
67,AFK,HMT,5,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
68,AFK,WHA,5,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
69,AFK,WYE,5,right,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
70,AFK,PLC,5,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
71,AFK,CHG,5,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
72,AFK,HMT,6,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
73,AFK,WHA,6,left,'{"SN":null,"TL":null,"GN":null,"GX":null}','2023/03/20 13:32'
